KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
1.0,threshold_Q1,1.0,156.95574144134844,0.0001999600079984003,0.0001999600079984003,4.039500129270409,2.8687141403345224,11.02331095814506,3.865123294476209
1.0,near_075,0.75,400.3290868425172,0.0001999600079984003,0.0001999600079984003,6.0975464196567595,3.483085813291272,11.02331095814506,3.865123294476209
1.0,dense_Q_0.745000,0.745,415.4543347972083,0.0001999600079984003,0.0001999600079984003,6.097782237390745,3.502255114609949,11.02331095814506,3.865123294476209
1.0,dense_Q_0.740000,0.74,416.98588574531095,0.0001999600079984003,0.0001999600079984003,6.093814177178713,3.522174771367333,11.02331095814506,3.865123294476209
1.0,dense_Q_0.735000,0.735,401.2337908990819,0.0001999600079984003,0.0001999600079984003,6.085924329102234,3.528338952563336,11.02331095814506,3.865123294476209
1.0,dense_Q_0.730000,0.73,385.13272704859514,0.0001999600079984003,0.0001999600079984003,6.076924578671522,3.5184403050785735,11.02331095814506,3.865123294476209
1.0,dense_Q_0.725000,0.725,377.4195730374163,0.0001999600079984003,0.0001999600079984003,6.070978634664599,3.5046549791211583,11.02331095814506,3.865123294476209
1.0,dense_Q_0.720000,0.72,379.6792963708781,0.0001999600079984003,0.0001999600079984003,6.071336849157986,3.498201028251605,11.02331095814506,3.865123294476209
1.0,dense_Q_0.715000,0.715,390.3798708349527,0.0001999600079984003,0.0001999600079984003,6.078403051963375,3.500117891103057,11.02331095814506,3.865123294476209
1.0,dense_Q_0.710000,0.71,403.2928301792613,0.0001999600079984003,0.0001999600079984003,6.089344542785855,3.50794321242004,11.02331095814506,3.865123294476209
1.0,dense_Q_0.705000,0.705,403.07551556731414,0.0001999600079984003,0.0001999600079984003,6.09948518952201,3.519883345967016,11.02331095814506,3.865123294476209
1.0,dense_Q_0.700000,0.7,390.98389259857777,0.0001999600079984003,0.0001999600079984003,6.10455982276743,3.531871347269773,11.02331095814506,3.865123294476209
1.0,dense_Q_0.695000,0.695,380.8923731566042,0.0001999600079984003,0.0001999600079984003,6.102706432483082,3.538695943889996,11.02331095814506,3.865123294476209
1.0,dense_Q_0.690000,0.69,375.54006780568125,0.0001999600079984003,0.0001999600079984003,6.095348114444317,3.537652357824495,11.02331095814506,3.865123294476209
