"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
0.484896445341212,1.62400682666355,43,67,73,140,0.284958979033728,3.10574293527803,54.3682267624723,0.421204421750067
0.506759045641881,1.65990279867982,44,69,73,142,0.284958979033728,3.53582497721057,55.5306300019362,0.474487153971762
0.52862164594255,1.69659219150308,40,80,72,152,0.284958979033728,-3.31376481312671,52.3426461992556,-0.458029916084801
0.550484246243218,1.73409254238174,48,70,63,133,0.284958979033728,10.1004557885141,58.7998154243487,1.31720384748833
0.572346846543887,1.77242177619587,48,103,61,164,0.284958979033728,1.26672743846855,61.317065636039,0.161767955322572
0.594209446844556,1.8115982140253,60,90,65,155,0.284958979033728,15.8313582497721,72.5862510584515,1.85819374341172
0.616072047145224,1.85164058190682,49,80,54,134,0.284958979033728,10.8154968094804,59.8810170440806,1.39766113729878
0.637934647445893,1.89256801978518,66,96,87,183,0.284958979033728,13.8525068368277,80.8598964109459,1.54050028451368
0.659797247746562,1.93440009066179,41,86,85,171,0.284958979033728,-7.72798541476755,54.8854769741626,-1.04312792637287
0.68165984804723,1.97715678994569,50,87,53,140,0.284958979033728,10.105742935278,61.3682267624723,1.29002004732727
0.703522448347899,2.02085855501122,44,111,93,204,0.284958979033728,-14.1316317228806,60.5651304253168,-1.81585423227057
0.725385048648568,2.06552627496689,55,107,69,176,0.284958979033728,4.84721969006381,69.2914850728223,0.582308016503162
0.747247648949237,2.11118130064027,53,119,59,178,0.284958979033728,2.27730173199635,67.4538883122862,0.277279065598812
0.769110249249905,2.15784545478347,45,111,71,182,0.284958979033728,-6.86253418413856,59.778694791214,-0.887587764075864
0.790972849550574,2.20554104250429,55,105,79,184,0.284958979033728,2.56754785779398,69.9410980306778,0.307009860483508
0.812835449851242,2.25429086192783,48,119,58,177,0.284958979033728,-2.43773928896992,62.3726866925542,-0.308666879265257
0.834698050151911,2.30411821509391,55,103,83,186,0.284958979033728,1.99762989972653,70.1035012701417,0.238586120378786
0.85656065045258,2.35504691909517,55,121,82,203,0.284958979033728,-2.84667274384685,71.4839288055848,-0.336692417784358
0.878423250753249,2.40710131746153,63,117,107,224,0.284958979033728,-0.830811303555151,81.1891628199556,-0.0922047649497906
0.900285851053917,2.46030629179617,79,129,112,241,0.284958979033728,10.3248860528715,98.5695903553987,1.03995319033582
0.922148451354586,2.51468727366876,63,155,104,259,0.284958979033728,-10.8043755697356,84.0312195105737,-1.1786350151796
0.944011051655255,2.57027025677156,79,155,113,268,0.284958979033728,2.6309936189608,100.762034088161,0.262102601620324
0.965873651955923,2.62708180934419,70,170,130,300,0.284958979033728,-15.4876937101185,94.3604859195835,-1.59437937241373
0.987736252256592,2.68514908687306,78,146,115,261,0.284958979033728,3.6257064721969,99.1936227500376,0.364041391639471
1.00959885255726,2.74449984507148,75,196,147,343,0.284958979033728,-22.7409298085688,102.852155568057,-2.24234028158897
1.03146145285793,2.80516245314667,101,188,159,347,0.284958979033728,2.11923427529626,129.176962046985,0.186460324644822
1.0533240531586,2.86716590736004,100,191,125,316,0.284958979033728,9.95296262534184,125.659711835295,0.887880143408045
1.07518665345927,2.93053984488715,91,223,175,398,0.284958979033728,-22.4136736554239,123.318244653314,-2.01836346911963
1.09704925375994,2.9953145579841,105,239,152,391,0.284958979033728,-6.41896080218778,136.74983331519,-0.548910225008867
1.1189118540606,3.06152100846695,100,231,146,377,0.284958979033728,-7.42953509571559,130.613010638943,-0.650082415257386
1.14077445436127,3.12919084251125,104,225,171,396,0.284958979033728,-8.84375569735643,136.15584141385,-0.757911676301905
1.16263705466194,3.19835640577868,110,189,178,367,0.284958979033728,5.4200546946217,139.800994441624,0.458404147940779
1.18449965496261,3.26905075887801,108,243,168,411,0.284958979033728,-9.11814038286235,141.373865709829,-0.766869927796663
1.20636225526328,3.34130769316782,104,235,159,394,0.284958979033728,-8.27383773928898,135.993438174386,-0.709492849259953
1.22822485556395,3.41516174690852,124,267,182,449,0.284958979033728,-3.94658158614403,160.459527259643,-0.311557586615378
1.25008745586462,3.49064822177138,116,229,181,410,0.284958979033728,-0.833181403828632,149.292664090097,-0.0681899440597916
1.27195005616529,3.56780319971242,114,229,168,397,0.284958979033728,0.87128532360984,146.237043033582,0.0720496209194977
1.29381265646595,3.64666356021936,111,252,170,422,0.284958979033728,-9.25268915223336,145.267083526881,-0.767687312981725
1.31567525676662,3.72726699793968,113,240,204,444,0.284958979033728,-13.5217866909754,149.053519160984,-1.10754903611269
1.33753785706729,3.80965204069844,109,224,181,405,0.284958979033728,-6.40838650865999,141.886655991438,-0.537994605251104
